Weather_ID,Place_ID,Year,Month_Number,Month_Name,Season,Average_Temperature_C,Minimum_Temperature_C,Maximum_Temperature_C,Humidity_Percentage,Rainfall_mm,Wind_Speed_kmph,Weather_Condition,Air_Quality_Index,UV_Index,Visibility_KM,Sunrise_Time,Sunset_Time,Tourism_Suitability,Weather_Warning,Created_Date,Updated_Date
WT000094,MP008,2025,10,October,Autumn,22.4,13.2,27.9,64,80.7,6.2,Rainy,118,10,8.1,04:09 Ayuk,06:38 Nungthil,Good,No,14-09-2025,07-04-2025
WT000586,MP049,2023,10,October,Autumn,22.5,13,28.5,65,64.4,5.5,Windy,88,8,4.7,05:32 Ayuk,07:49 Nungthil,Good,No,15-01-2025,12-04-2025
WT000263,MP022,2024,11,November,Autumn,17.5,9.3,26.4,55,32.8,2.6,Foggy,126,9,7,04:27 Ayuk,07:44 Nungthil,Good,No,09-02-2025,23-02-2025
WT000070,MP006,2025,10,October,Autumn,20.8,14,28.4,67,21.5,6.4,Windy,89,8,2.4,04:19 Ayuk,07:45 Nungthil,Good,No,09-03-2023,05-02-2025
WT000479,MP040,2024,11,November,Autumn,18,10.6,26.3,57,22.1,2.8,Sunny,108,8,11.6,06:30 Ayuk,05:29 Nungthil,Good,No,07-04-2024,12-02-2025
WT000734,MP062,2023,2,February,Winter,15.7,8.2,25.3,73,8.9,4.8,Cloudy,66,9,11.2,06:24 Ayuk,07:06 Nungthil,Excellent,No,15-02-2024,21-03-2025
WT000589,MP050,2023,1,January,Winter,14.6,9.1,22.8,72,6.6,5.4,Sunny,123,5,4.6,04:53 Ayuk,07:20 Nungthil,Excellent,No,08-08-2025,25-01-2025
WT000604,MP051,2025,4,April,Spring,22,14.6,29.6,65,35,7.1,Sunny,52,5,8.4,05:35 Ayuk,06:40 Nungthil,Good,No,03-11-2024,16-03-2026
WT000442,MP037,2023,10,October,Autumn,22,13.8,27.1,66,56.1,6.2,Windy,140,9,6.7,04:50 Ayuk,06:11 Nungthil,Good,No,15-03-2024,15-04-2026
WT000257,MP022,2024,5,May,Summer,24.9,16.9,33,78,62.3,8,Cloudy,139,4,10.4,06:56 Ayuk,06:24 Nungthil,Moderate,No,09-08-2023,06-09-2025
WT000628,MP053,2023,4,April,Spring,23.4,14.2,32.4,59,22.9,6.3,Heavy Rain,133,10,5.3,04:43 Ayuk,05:25 Nungthil,Good,No,09-02-2023,18-05-2025
WT000434,MP037,2023,2,February,Winter,16.9,7.6,23.7,62,43.3,5.1,Cloudy,106,5,4.2,04:41 Ayuk,06:03 Nungthil,Excellent,No,17-11-2025,13-05-2025
WT000666,MP056,2023,6,June,Summer,25.8,18.7,32.7,76,128.8,9,Clear,91,7,3.3,06:10 Ayuk,05:23 Nungthil,Moderate,No,14-01-2025,25-07-2025
WT000585,MP049,2024,9,September,Monsoon,25.7,15.5,29.2,74,131.3,5.8,Foggy,64,3,12,06:05 Ayuk,07:04 Nungthil,Poor,No,23-10-2025,04-05-2026
WT000521,MP044,2025,5,May,Summer,25.7,15.5,33.7,70,97.8,5.1,Rainy,59,8,3.6,04:04 Ayuk,05:23 Nungthil,Moderate,No,16-02-2025,01-01-2026
WT000398,MP034,2025,2,February,Winter,15.2,8.4,23.5,56,33.4,5.4,Partly Cloudy,61,4,8.5,06:07 Ayuk,06:43 Nungthil,Excellent,No,01-05-2025,07-06-2025
WT000559,MP047,2025,7,July,Monsoon,27.1,15.6,31.2,79,228.6,9.2,Partly Cloudy,87,10,7.4,06:44 Ayuk,05:56 Nungthil,Poor,Flood Warning,23-05-2023,14-04-2026
WT000707,MP059,2023,11,November,Autumn,18.2,9.3,24.7,57,7.8,2.6,Rainy,136,10,9.8,05:05 Ayuk,07:06 Nungthil,Good,No,18-05-2023,18-05-2026
WT000570,MP048,2024,6,June,Summer,26.3,18.1,32.8,80,143.1,8.6,Sunny,123,9,5,05:17 Ayuk,06:52 Nungthil,Moderate,No,09-05-2023,01-07-2026
WT000269,MP023,2024,5,May,Summer,25.7,17.3,32.9,66,99.6,6,Windy,64,9,8,05:51 Ayuk,07:18 Nungthil,Moderate,No,05-01-2024,18-08-2026
WT000228,MP019,2025,12,December,Winter,15.5,8.2,20.3,76,10.3,3.6,Partly Cloudy,120,7,4.3,04:46 Ayuk,07:04 Nungthil,Excellent,No,02-07-2023,01-01-2026
WT000781,MP066,2025,1,January,Winter,16.2,7.9,22.4,69,4.2,6,Rainy,137,10,6.8,05:37 Ayuk,05:44 Nungthil,Excellent,No,23-10-2025,06-08-2026
WT000726,MP061,2025,6,June,Summer,27.5,16.6,32.8,82,176.3,6.2,Cloudy,58,6,10.8,05:50 Ayuk,05:19 Nungthil,Moderate,Heavy Rain Alert,07-01-2025,10-10-2025
WT000256,MP022,2024,4,April,Spring,24.1,14.7,32.1,55,27.5,5.9,Heavy Rain,117,7,6.7,06:33 Ayuk,06:52 Nungthil,Good,No,08-11-2023,17-06-2026
WT000510,MP043,2024,6,June,Summer,26.4,17.2,32.9,86,-10,7,Cloudy,100,8,7.1,04:15 Ayuk,06:27 Nungthil,Moderate,Heavy Rain Alert,11-05-2024,15-09-2026
WT000289,MP025,2024,1,January,Winter,16,7.9,22.4,73,0,5.6,Heavy Rain,118,3,10.8,05:44 Ayuk,05:10 Nungthil,Excellent,No,16-03-2024,05-04-2025
WT000787,MP066,2023,7,July,Monsoon,26.9,15.5,30.8,76,247.5,7.2,Rainy,69,4,2.1,06:14 Ayuk,05:41 Nungthil,Poor,Flood Warning,17-11-2025,07-07-2026
WT000374,MP032,2024,2,February,Winter,16.3,9.9,24.3,63,28.7,5.4,Clear,50,5,2.6,04:44 Ayuk,05:55 Nungthil,Excellent,No,23-04-2024,19-07-2026
WT000184,MP016,2025,4,April,Spring,21.6,13.1,32,63,80.1,4.9,Foggy,78,5,11,05:23 Ayuk,07:49 Nungthil,Good,No,17-07-2024,22-09-2025
WT000358,MP030,2024,10,October,Autumn,21.1,11.6,27,62,68.1,3.6,Cloudy,119,4,2.7,04:16 Ayuk,06:14 Nungthil,Good,No,21-06-2025,10-03-2025
WT000573,MP048,2023,9,September,Monsoon,25.1,14,29.5,85,147.8,6.5,Partly Cloudy,122,9,10.9,06:13 Ayuk,07:27 Nungthil,Poor,No,02-11-2024,18-10-2026
WT000671,MP056,2023,11,November,Autumn,17.7,11.5,23.6,67,37.4,4.1,Windy,54,9,6.7,04:45 Ayuk,05:38 Nungthil,Good,No,05-02-2025,06-12-2026
WT000452,MP038,2025,8,August,Monsoon,25.3,17.1,30.6,94,211.7,8.2,Sunny,81,5,6.1,04:58 Ayuk,06:08 Nungthil,Poor,Flood Warning,08-09-2023,24-09-2026
WT000048,MP004,2024,12,December,Winter,13.6,7.3,20.7,62,0,6.6,Foggy,100,8,9.3,05:05 Ayuk,06:40 Nungthil,Excellent,No,09-09-2024,09-04-2025
WT000158,MP014,2024,2,February,Winter,14.7,8.4,22.7,67,11.5,7.2,Foggy,104,3,5.8,06:36 Ayuk,06:56 Nungthil,Excellent,No,05-07-2025,17-12-2025
WT000564,MP047,2024,12,December,Winter,12.5,7.8,20.6,78,0,3.5,Windy,65,5,3.1,06:30 Ayuk,06:40 Nungthil,Excellent,No,24-04-2025,18-11-2026
WT000540,MP045,2024,12,December,Winter,14.2,6.9,19.6,72,0,4.2,Rainy,57,5,5.4,05:00 Ayuk,06:10 Nungthil,Excellent,No,18-02-2025,03-05-2025
WT000344,MP029,2025,8,August,Monsoon,24.8,17.5,30.7,80,235,6.2,Heavy Rain,83,4,9.2,06:23 Ayuk,05:30 Nungthil,Poor,Flood Warning,06-04-2024,16-11-2025
WT000501,MP042,2023,9,September,Monsoon,24.8,16.4,30.7,74,106.2,8.9,Cloudy,52,6,2.9,05:17 Ayuk,05:46 Nungthil,Poor,No,03-07-2025,17-12-2025
WT000832,MP070,2023,4,April,Spring,22.4,14.2,31.6,65,37.7,6.6,Partly Cloudy,96,7,8.3,04:35 Ayuk,05:32 Nungthil,Good,No,02-10-2024,14-10-2025
WT000516,MP043,2024,12,December,Winter,13.1,6.2,21.2,70,51.2,3.4,Partly Cloudy,119,8,7.4,04:26 Ayuk,05:23 Nungthil,Excellent,No,18-04-2023,23-02-2026
WT000620,MP052,2024,8,August,Monsoon,26.7,17.3,31.2,94,195.1,7.6,Foggy,122,7,7.3,04:20 Ayuk,07:26 Nungthil,Poor,Heavy Rain Alert,13-05-2023,09-03-2025
WT000532,MP045,2023,4,April,Spring,23.5,12.8,30.2,55,67,7.9,Foggy,68,8,5.5,05:31 Ayuk,07:23 Nungthil,Good,No,13-04-2023,06-07-2026
WT000798,MP067,2025,6,June,Summer,27.8,17.5,35,85,189.7,8.5,Rainy,52,8,10.7,04:55 Ayuk,07:47 Nungthil,Moderate,Heavy Rain Alert,22-10-2024,16-01-2025
WT000095,MP008,2025,11,November,Autumn,17,8.7,26.2,55,0,3.5,Partly Cloudy,72,4,6.4,06:53 Ayuk,06:00 Nungthil,Good,No,16-05-2025,17-12-2025
WT000782,MP066,2025,2,February,Winter,14.8,9.7,23.5,61,54.1,6.7,Partly Cloudy,53,4,2.2,04:24 Ayuk,07:49 Nungthil,Excellent,No,10-11-2023,07-07-2026
WT000105,MP009,2024,9,September,Monsoon,23.9,15.7,29.1,78,90.8,5.5,Partly Cloudy,95,10,10.1,06:26 Ayuk,06:26 Nungthil,Moderate,No,25-02-2023,06-08-2026
WT000097,MP009,2024,1,January,Winter,16,8.4,21.1,64,9.9,5.1,Windy,90,6,6.9,06:00 Ayuk,05:51 Nungthil,Excellent,No,14-07-2025,25-01-2026
WT000514,MP043,2025,10,October,Autumn,21,12.2,28.9,62,43.7,4.2,Sunny,148,5,2.1,05:44 Ayuk,06:22 Nungthil,Good,No,17-06-2023,08-04-2026
WT000462,MP039,2024,6,June,Summer,27.5,17.7,32.6,71,132.3,8.7,Rainy,90,10,10.9,05:15 Ayuk,05:31 Nungthil,Moderate,No,11-04-2025,05-09-2025
WT000030,MP003,2023,6,June,Summer,25.5,17.5,32.6,73,600,7.6,Cloudy,127,8,3.3,06:54 Ayuk,05:05 Nungthil,Moderate,No,19-11-2023,25-12-2025
WT000731,MP061,2024,11,November,Autumn,17.1,10.2,24.2,56,2.5,4.6,Windy,62,10,5.4,04:07 Ayuk,05:49 Nungthil,Good,No,02-03-2023,21-02-2025
WT000177,MP015,2025,9,September,Monsoon,25.4,16.1,30.2,74,111.7,5.8,Partly Cloudy,135,3,4.5,05:01 Ayuk,05:45 Nungthil,Poor,No,23-03-2024,13-07-2026
WT000658,MP055,2025,10,October,Autumn,22.6,11.8,29.2,64,81.3,3.1,Heavy Rain,135,9,12,05:35 Ayuk,05:29 Nungthil,Good,No,04-09-2023,14-02-2025
WT000716,MP060,2024,8,August,Monsoon,24.8,17.1,30.2,86,219.4,9.2,Cloudy,128,6,9,04:50 Ayuk,06:38 Nungthil,Poor,Flood Warning,07-10-2023,23-11-2026
WT000303,MP026,2024,3,March,Spring,21.2,12.3,29,54,0,6.8,Rainy,141,3,10,06:13 Ayuk,05:34 Nungthil,Good,No,09-04-2023,08-09-2025
WT000467,MP039,2024,11,November,Autumn,18.3,8.7,26.2,57,29.2,3.1,Heavy Rain,86,5,8.7,05:56 Ayuk,06:17 Nungthil,Good,No,25-03-2025,09-05-2025
WT000455,MP038,2025,11,November,Autumn,16.6,10.2,26.2,64,0,4.8,Sunny,128,7,4.9,04:19 Ayuk,05:44 Nungthil,Good,No,07-10-2024,07-02-2026
WT000445,MP038,2024,1,January,Winter,13.6,8.7,22.9,64,0,8.7,Windy,81,3,7.7,06:34 Ayuk,06:26 Nungthil,Excellent,No,08-02-2024,07-05-2026
WT000238,MP020,2023,10,October,Autumn,22.5,13.5,28.7,75,78.6,6.1,Sunny,93,4,11.7,05:20 Ayuk,05:48 Nungthil,Good,No,01-03-2025,20-04-2025
WT000262,MP022,2023,10,October,Autumn,21,14.2,26.6,81,22.4,6.6,Windy,68,8,11.9,05:56 Ayuk,05:37 Nungthil,Good,No,05-03-2024,06-06-2026
WT000034,MP003,2024,10,October,Autumn,21.8,11.9,28.5,74,21.5,4.7,Partly Cloudy,76,3,4.8,06:12 Ayuk,07:12 Nungthil,Good,No,04-11-2025,23-07-2025
WT000037,MP004,2025,1,January,Winter,15.7,7.5,22.7,66,28,7.2,Heavy Rain,103,8,6.7,04:54 Ayuk,06:12 Nungthil,Excellent,No,24-08-2024,17-11-2026
WT000060,MP005,2023,12,December,Winter,14.5,6.1,19.7,67,39.6,3.7,Foggy,91,3,7.7,04:18 Ayuk,06:42 Nungthil,Excellent,No,06-05-2024,03-12-2026
WT000689,MP058,2023,5,May,Summer,26.6,14.6,34.2,73,111.1,5.9,Sunny,124,5,9.7,04:40 Ayuk,06:20 Nungthil,Moderate,No,16-02-2025,25-03-2025
WT000102,MP009,2023,6,June,Summer,26.5,18.8,33.3,70,132.2,7.2,Partly Cloudy,146,3,8.7,06:12 Ayuk,06:00 Nungthil,Moderate,No,09-08-2025,24-07-2025
WT000602,MP051,2024,2,February,Winter,16.7,9.6,23.5,60,38.5,7.7,Clear,94,10,9.7,04:18 Ayuk,07:04 Nungthil,Excellent,No,06-01-2024,24-07-2026
WT000258,MP022,2024,6,June,Summer,26.9,18.7,32.9,82,187.9,7.1,Windy,134,7,5.8,05:14 Ayuk,07:11 Nungthil,Moderate,No,13-11-2023,25-02-2025
WT000207,MP018,2024,3,March,Spring,20,12,28.1,50,54.3,5.6,Clear,104,6,10.7,04:40 Ayuk,05:30 Nungthil,Good,No,18-07-2025,23-06-2025
WT000281,MP024,2023,5,May,Summer,24.9,17.5,34,66,87.4,5.2,Foggy,110,6,11.5,06:31 Ayuk,06:07 Nungthil,Moderate,No,13-10-2023,17-12-2025
WT000057,MP005,2025,9,September,Monsoon,26.5,14.2,28.7,80,124.3,6.9,Heavy Rain,58,3,3.5,04:51 Ayuk,06:11 Nungthil,Poor,No,18-05-2024,18-10-2026
WT000019,MP002,2023,7,July,Monsoon,26.5,17.2,31,93,260.8,9,Sunny,147,10,3.2,04:47 Ayuk,05:56 Nungthil,Poor,Flood Warning,07-07-2024,15-02-2026
WT000811,MP068,2025,7,July,Monsoon,27.8,16.2,32.5,80,228.7,8.8,Clear,84,4,10.8,04:34 Ayuk,06:41 Nungthil,Poor,Flood Warning,25-03-2023,21-03-2026
WT000730,MP061,2025,10,October,Autumn,22.9,14.1,28.8,75,59.8,6.3,Rainy,69,7,11,04:17 Ayuk,07:40 Nungthil,Good,No,16-11-2024,17-04-2026
WT000332,MP028,2023,8,August,Monsoon,27.3,16.7,30.2,90,223.9,6.7,Rainy,50,8,3.4,05:08 Ayuk,05:38 Nungthil,Poor,Flood Warning,09-01-2025,11-11-2025
WT000823,MP069,2023,7,July,Monsoon,25.5,18.3,30.6,90,215,6.4,Clear,100,8,7,06:04 Ayuk,06:08 Nungthil,Poor,Flood Warning,16-12-2025,01-10-2025
WT000508,MP043,2023,4,April,Spring,23.4,14.2,29.8,68,6.9,7.7,Rainy,99,9,3.3,06:40 Ayuk,05:39 Nungthil,Good,No,03-11-2025,04-10-2026
WT000601,MP051,2024,1,January,Winter,15.1,7.6,22.9,64,40.1,5.5,Partly Cloudy,111,9,11.5,05:38 Ayuk,06:52 Nungthil,Excellent,No,20-10-2025,18-12-2026
WT000104,MP009,2023,8,August,Monsoon,27.1,17.9,32,95,229.9,7.8,Rainy,54,5,11,06:01 Ayuk,05:56 Nungthil,Poor,Flood Warning,08-09-2023,01-11-2025
WT000547,MP046,2024,7,July,Monsoon,25.9,17.7,30.9,84,266.3,7,Cloudy,64,6,6.5,04:43 Ayuk,05:25 Nungthil,Poor,Flood Warning,02-05-2025,01-09-2025
WT000649,MP055,2023,1,January,Winter,15.8,9,21.6,64,6.6,8.4,Sunny,93,10,11.8,06:58 Ayuk,06:31 Nungthil,Excellent,No,04-04-2024,20-07-2026
WT000221,MP019,2025,5,May,Summer,26.1,16,32.4,71,61.5,7.7,Sunny,100,3,7.5,04:23 Ayuk,06:56 Nungthil,Moderate,No,22-03-2024,06-06-2026
WT000835,MP070,2025,7,July,Monsoon,27.3,18.5,32.3,91,226.4,8.8,Partly Cloudy,146,9,11.4,05:16 Ayuk,05:27 Nungthil,Poor,Flood Warning,03-09-2024,06-12-2026
WT000190,MP016,2023,10,October,Autumn,21.9,12,28.4,68,40.5,6.1,Partly Cloudy,106,6,2.9,05:18 Ayuk,06:33 Nungthil,Good,No,15-04-2023,19-05-2025
WT000031,MP003,2024,7,July,Monsoon,25.7,17.3,33.4,94,216,7.4,Cloudy,73,9,4.7,06:45 Ayuk,07:49 Nungthil,Poor,Flood Warning,18-02-2025,09-08-2025
WT000411,MP035,2025,3,March,Spring,21.4,11.1,28,50,16.9,6.5,Heavy Rain,76,4,3.2,04:37 Ayuk,05:47 Nungthil,Good,No,06-04-2024,08-07-2026
WT000069,MP006,2025,9,September,Monsoon,26.4,15.5,30.2,82,100,8.4,Clear,87,10,10,04:19 Ayuk,06:59 Nungthil,Moderate,No,16-04-2023,04-07-2025
WT000815,MP068,2023,11,November,Autumn,19.4,10.1,24.4,65,0,2,Clear,124,7,8.2,05:03 Ayuk,05:01 Nungthil,Good,No,13-05-2024,06-11-2026
WT000364,MP031,2023,4,April,Spring,21.5,14.5,31.6,62,14.4,6.2,Windy,52,7,2.4,06:25 Ayuk,06:37 Nungthil,Good,No,20-12-2023,23-11-2025
WT000624,MP052,2023,12,December,Winter,14.3,7,21,66,42.8,5.2,Foggy,87,5,7.6,04:23 Ayuk,07:13 Nungthil,Excellent,No,18-01-2024,23-05-2026
WT000389,MP033,2024,5,May,Summer,24.5,17.1,32.8,76,78.9,7.4,Sunny,103,3,11.5,05:44 Ayuk,05:19 Nungthil,Moderate,No,18-02-2023,14-04-2025
WT000723,MP061,2024,3,March,Spring,20.3,11.8,27.7,66,53.7,5.4,Rainy,69,9,5.2,06:48 Ayuk,07:44 Nungthil,Good,No,06-06-2023,18-11-2025
WT000074,MP007,2024,2,February,Winter,16.1,9.7,24.7,66,39.4,5.7,Rainy,142,10,5.1,05:11 Ayuk,05:27 Nungthil,Excellent,No,10-02-2025,09-10-2026
WT000703,MP059,2024,7,July,Monsoon,27.9,17.8,32.9,79,257.8,8.7,Partly Cloudy,136,10,11.7,04:45 Ayuk,07:44 Nungthil,Poor,Flood Warning,19-04-2023,25-02-2025
WT000022,MP002,2023,10,October,Autumn,23.2,11.8,28.4,78,23.2,5.7,Cloudy,134,6,9.8,06:30 Ayuk,07:49 Nungthil,Good,No,03-01-2024,24-09-2026
WT000638,MP054,2023,2,February,Winter,14.6,10.4,24.8,70,0,7.9,Partly Cloudy,107,5,2.6,04:16 Ayuk,06:08 Nungthil,Excellent,No,16-01-2024,08-09-2026
WT000111,MP010,2023,3,March,Spring,18.8,12.1,28.1,51,43.2,4.7,Rainy,128,9,7.8,05:11 Ayuk,05:42 Nungthil,Good,No,16-07-2023,05-04-2025
WT000014,MP002,2024,2,February,Winter,17.3,10.2,24.9,70,25.1,4.9,Foggy,140,7,2.6,05:27 Ayuk,07:59 Nungthil,Excellent,No,07-02-2024,09-11-2025
WT000132,MP011,2025,12,December,Winter,14.3,7.9,21.2,68,0,5.4,Heavy Rain,137,3,5.6,04:02 Ayuk,06:35 Nungthil,Excellent,No,12-12-2025,12-12-2025
WT000025,MP003,2025,1,January,Winter,14.65,23.3,6,73,34.2,6.6,Clear,88,6,4,05:42 Ayuk,06:39 Nungthil,Excellent,No,08-04-2024,14-09-2026
WT000609,MP051,2025,9,September,Monsoon,24.2,14.6,30,83,143.5,5.3,Windy,129,9,5.5,06:08 Ayuk,05:11 Nungthil,Poor,No,20-09-2024,16-11-2025
WT000554,MP047,2025,2,February,Winter,16.6,10,25.1,71,6.7,7.9,Windy,67,8,7.3,05:22 Ayuk,05:47 Nungthil,Excellent,No,14-07-2023,06-02-2025
WT000674,MP057,2024,2,February,Winter,15,9.8,24.7,57,36.6,5,Windy,145,6,3.4,04:07 Ayuk,06:38 Nungthil,Excellent,No,22-07-2023,19-04-2026
WT000824,MP069,2025,8,August,Monsoon,26,16.4,30.9,85,230.3,7.4,Windy,88,6,4.9,06:36 Ayuk,05:07 Nungthil,Poor,Flood Warning,24-09-2023,15-10-2025
WT000682,MP057,2024,10,October,Autumn,22.6,12.9,29.2,81,39,6.8,Rainy,140,10,3,05:56 Ayuk,07:30 Nungthil,Good,No,23-01-2024,06-12-2025
WT000541,MP046,2024,1,January,Winter,15.5,8.1,20.9,66,44.4,5.2,Foggy,111,8,5.1,05:07 Ayuk,05:52 Nungthil,Excellent,No,24-02-2023,08-10-2026
WT000557,MP047,2025,5,May,Summer,26.2,16.7,32,65,110.7,5.7,Cloudy,62,3,3.5,06:27 Ayuk,05:01 Nungthil,Moderate,No,11-08-2023,24-08-2026
WT000471,MP040,2024,3,March,Spring,21.4,10.9,27.8,65,0,4.1,Foggy,102,6,2.5,06:50 Ayuk,05:03 Nungthil,Good,No,24-07-2024,10-04-2025
WT000197,MP017,2023,5,May,Summer,25.6,14.9,34,79,98.5,5.9,Heavy Rain,123,8,8.4,04:21 Ayuk,07:28 Nungthil,Moderate,No,01-07-2023,07-05-2026
WT000301,MP026,2023,1,January,Winter,16.1,8.2,20.5,67,21.7,8.3,Heavy Rain,145,8,5.6,05:13 Ayuk,07:39 Nungthil,Excellent,No,05-05-2025,12-02-2025
WT000740,MP062,2023,8,August,Monsoon,27.1,15.3,31.3,76,220.9,8.8,Clear,92,8,8.7,06:30 Ayuk,06:20 Nungthil,Poor,Flood Warning,22-07-2025,21-03-2026
WT000538,MP045,2024,10,October,Autumn,23.1,14.5,28.5,69,34.6,3.3,Partly Cloudy,123,5,4.6,06:04 Ayuk,06:22 Nungthil,Good,No,20-01-2025,15-11-2026
WT000542,MP046,2023,2,February,Winter,16.8,9.3,23.8,56,14.9,4.7,Foggy,145,8,9.1,05:28 Ayuk,05:20 Nungthil,Excellent,No,07-10-2024,06-05-2026
WT000719,MP060,2023,11,November,Autumn,18.2,10.9,24.1,66,4.3,2.3,Cloudy,84,9,2.1,05:44 Ayuk,07:15 Nungthil,Good,No,06-01-2025,01-08-2026
WT000752,MP063,2025,8,August,Monsoon,27,17.7,32.1,86,191.7,9.3,Heavy Rain,101,7,8.4,04:46 Ayuk,06:31 Nungthil,Poor,Heavy Rain Alert,23-07-2025,23-12-2025
WT000045,MP004,2024,9,September,Monsoon,25.5,15.4,28.9,71,146.6,8.7,Windy,77,5,9,06:44 Ayuk,06:39 Nungthil,Poor,No,08-09-2024,21-07-2025
WT000140,MP012,2025,8,August,monson,25.1,16.8,30.4,87,198.7,6.6,Cloudy,67,9,11.8,05:11 Ayuk,07:51 Nungthil,Poor,Flood Warning,08-05-2025,13-12-2026
WT000560,MP047,2024,8,August,Monsoon,27.4,15.4,31.6,83,185.8,8.4,Clear,113,10,6.5,06:13 Ayuk,07:51 Nungthil,Poor,Flood Warning,18-10-2023,21-10-2026
WT000086,MP008,2023,2,February,Winter,15.1,7.9,23,63,0,7.9,Foggy,84,9,8.7,04:12 Ayuk,07:07 Nungthil,Excellent,No,20-11-2025,14-05-2025
WT000788,MP066,2023,8,August,Monsoon,26.4,15.5,30.1,92,183.9,7.1,Foggy,120,7,7,05:38 Ayuk,05:22 Nungthil,Poor,No,02-03-2024,08-03-2025
WT000761,MP064,2025,5,May,Summer,25.6,14.5,32.4,71,98.6,6.8,Clear,142,10,3,06:21 Ayuk,05:45 Nungthil,Moderate,No,10-03-2024,16-12-2025
WT000266,MP023,2025,2,February,Winter,16.7,9.6,24.3,55,16.3,5.6,Partly Cloudy,131,6,5,04:58 Ayuk,07:04 Nungthil,Excellent,No,21-07-2025,19-06-2025
WT000725,MP061,2024,5,May,Summer,26.8,15.7,33.2,69,73.9,5.8,Windy,112,5,10.2,06:04 Ayuk,07:09 Nungthil,Moderate,No,11-04-2024,18-09-2026
WT000429,MP036,2023,9,September,Monsoon,26,15.5,29.9,81,167.4,6.9,Clear,96,6,4.2,05:19 Ayuk,06:00 Nungthil,Poor,No,04-02-2025,01-08-2025
WT000388,MP033,2025,4,April,Spring,21.6,15.4,31.4,60,75.6,5.2,Windy,69,7,6.8,06:49 Ayuk,05:22 Nungthil,Good,No,05-09-2024,16-10-2025
WT000339,MP029,2024,3,March,Spring,21.4,10.1,27.1,54,24.9,7.8,Partly Cloudy,117,7,9.1,06:33 Ayuk,07:07 Nungthil,Good,No,21-02-2025,21-12-2025
WT000553,MP047,2025,1,January,Winter,14.4,8.1,21.2,58,31.7,6.1,Sunny,146,4,3.1,05:30 Ayuk,06:27 Nungthil,Excellent,No,17-12-2024,11-12-2026
WT000010,MP001,2024,10,October,Autumn,22.9,14.2,26.8,76,38.7,3.4,,150,7,4.3,05:02 Ayuk,06:30 Nungthil,Good,,02-09-2025,04-09-2026
WT000569,MP048,2024,5,May,Summer,26.6,17.4,32.8,64,103.5,7.2,Cloudy,118,7,8.3,04:58 Ayuk,07:46 Nungthil,Moderate,No,17-12-2025,22-09-2026
WT000561,MP047,2025,9,September,Monsoon,24.8,16.1,30,81,137.6,7.7,Partly Cloudy,139,8,3.5,06:24 Ayuk,07:36 Nungthil,Poor,No,12-11-2025,05-01-2026
WT000230,MP020,2025,2,February,Winter,15.1,7.6,25.2,64,13.6,6,Heavy Rain,77,7,8.5,04:25 Ayuk,05:52 Nungthil,Excellent,No,11-05-2024,11-01-2025
WT000661,MP056,2024,1,January,Winter,16.2,7.2,22.8,69,0,8.4,Sunny,138,3,5.7,06:54 Ayuk,07:11 Nungthil,Excellent,No,21-09-2023,03-05-2026
WT000120,MP010,2025,12,December,Winter,13.3,6.6,19.7,60,50.5,6.2,Windy,139,8,8.2,04:42 Ayuk,07:15 Nungthil,Excellent,No,25-02-2025,10-03-2026
WT000637,MP054,2023,1,January,Winter,14.3,7,22.1,63,2.6,6.7,Foggy,67,8,5.5,06:39 Ayuk,07:02 Nungthil,Excellent,No,04-11-2023,16-04-2025
WT000225,MP019,2024,9,September,Monsoon,25.6,13.6,30,73,121.2,5.2,Partly Cloudy,98,8,7,05:21 Ayuk,05:09 Nungthil,Poor,No,24-07-2023,02-11-2026
WT000797,MP067,2024,5,May,Summer,26.9,16.7,31.6,68,55.5,8.2,Rainy,80,7,10.8,05:27 Ayuk,07:29 Nungthil,Moderate,No,09-06-2023,19-11-2025
WT000382,MP032,2025,10,October,Autumn,22.1,13.2,26.9,63,72.4,5.6,Rainy,116,3,11.7,06:52 Ayuk,07:35 Nungthil,Good,No,04-08-2024,25-04-2025
WT000534,MP045,2024,6,June,Summer,28.3,18.2,35.3,75,157.8,6.1,Partly Cloudy,80,5,2.4,05:33 Ayuk,05:48 Nungthil,Moderate,Heavy Rain Alert,11-12-2024,11-07-2026
WT000552,MP046,2025,12,December,Winter,13.9,6.6,19.8,76,19.8,6.7,Cloudy,107,7,4.9,04:54 Ayuk,05:41 Nungthil,Excellent,No,20-02-2023,18-06-2026
WT000295,MP025,2024,7,July,Monsoon,25.3,16.7,31.4,86,205.3,9.4,Heavy Rain,140,10,4,05:03 Ayuk,05:25 Nungthil,Poor,Flood Warning,24-08-2023,05-02-2026
WT000420,MP035,2025,12,December,Winter,14.6,8.3,21.7,65,11.5,6.1,Partly Cloudy,125,3,2.9,05:42 Ayuk,05:34 Nungthil,Excellent,No,21-12-2023,16-06-2025
WT000235,MP020,2024,7,July,Monsoon,27.2,15.6,30.6,82,246.9,7,Partly Cloudy,80,10,3.8,05:00 Ayuk,07:48 Nungthil,Poor,Flood Warning,06-10-2024,07-02-2026
WT000027,MP003,2024,3,March,Spring,18.6,11.6,26.5,64,47.7,6.2,Cloudy,111,4,5.4,04:15 Ayuk,05:32 Nungthil,Good,No,22-05-2023,02-05-2026
