Record_ID,Place_ID,Year,Month_Number,Month_Name,Season,Domestic_Visitors,Foreign_Visitors,Total_Visitors,Male_Visitors,Female_Visitors,Children_Visitors,Senior_Citizen_Visitors,Student_Visitors,Group_Visitors,Solo_Visitors,Average_Visit_Duration_Hours,Average_Spending_INR,Weather_Condition,Special_Event,Festival_Season,Visitor_Satisfaction,Revenue_INR,Growth_Percentage,Remarks,Created_Date,Updated_Date
VS000131,MP011,2023,11,November,Autumn,34307,1404,35711,18088,17623,3766,3385,3506,9342,26369,5.4,920.15,Rainy,No,Yes,4,32859476.65,34.3,Festival Crowd,17-04-2024,23-09-2025
VS000132,MP011,2024,12,December,Winter,41690,5000,46690,23151,23539,3727,2360,4955,17615,29075,5.5,1722.89,Rainy,No,No,4.6,80441734.1,-10,Winter Vacation,24-02-2024,13-01-2025
VS000133,MP012,2023,1,January,Winter,33167,1886,35053,17229,17824,3700,3092,4792,8942,26111,3,1214.43,Foggy,No,No,4.6,42569414.79,32.4,Peak Season,11-07-2024,25-08-2025
VS000134,MP012,2024,2,February,Winter,30890,4072,34962,17194,17768,2566,2816,4800,9916,25046,3.1,1121.47,Clear,Yes,No,3.9,39208834.14,2.5,Holiday Rush,01-07-2025,25-09-2025
VS000135,MP012,2023,3,March,Spring,27856,1175,29031,15089,13942,2583,1960,2689,7487,21544,2.9,1448.47,Sunny,No,No,4.4,42050532.57,-2.7,Holiday Rush,05-09-2024,17-01-2025
VS000136,MP012,2023,4,April,Spring,29577,1190,30767,16302,14465,3551,2304,3387,11790,18977,2.5,1261.91,Cloudy,Yes,Yes,3.8,38825184.97,26.6,Normal Traffic,03-04-2023,01-08-2025
VS000137,MP012,2024,5,May,Summer,17326,569,17895,9690,8205,905,1653,1661,4674,13221,5.6,1384.15,Cloudy,No,No,4.6,24769364.25,5.5,Festival Crowd,06-07-2025,09-11-2025
VS000138,MP012,2024,6,June,Summer,15816,2250,18066,8708,9358,1654,1064,2699,5118,12948,2.3,1762.3,Windy,Yes,No,4.5,31837711.8,-18.9,Rain Affected,01-08-2024,25-11-2025
VS000139,MP012,2023,7,July,Monsoon,13238,1232,14470,7320,7150,1280,909,1740,4305,10165,3.7,1427.52,Cloudy,No,No,3.9,20656214.4,-10.1,Rain Affected,11-05-2024,18-10-2025
VS000140,MP012,2023,8,August,Monsoon,12360,548,12908,6029,6879,1160,1083,1218,3691,9217,3.8,1632.92,Windy,Yes,No,4.5,21077731.36,11.4,Monsoon Season,20-10-2023,19-03-2025
VS000141,MP012,2024,9,September,Monsoon,16955,898,17853,8906,8947,1876,1739,1756,5670,12183,3.6,1112.92,Rainy,No,No,4.8,19868960.76,-4.1,Holiday Rush,14-05-2025,06-11-2025
VS000142,MP012,2023,10,October,Autumn,26321,1366,27687,13447,14240,2802,2235,3695,10518,17169,4.4,1473.88,Rainy,No,No,4.3,40807315.56,0.1,Festival Crowd,21-04-2025,24-02-2025
VS000143,MP012,2024,11,November,Autumn,31102,1285,32387,17793,14594,2671,2506,3689,11013,21374,4.6,1670.96,Sunny,Yes,No,4.1,54117381.52,-3.8,Festival Crowd,09-11-2023,19-07-2025
VS000144,MP012,2023,12,December,Winter,38576,2048,40624,20731,19893,3641,2668,3891,10667,29957,5.4,1158.65,Rainy,No,No,3.9,47068997.6,-13.1,Peak Season,16-05-2023,07-10-2025
VS000145,MP013,2025,1,January,Winter,34303,2706,37009,18065,18944,3440,1537,3466,12403,24606,2.7,892.9,Foggy,No,No,3.8,33045336.1,-2.9,Winter Vacation,22-04-2023,18-06-2025
VS000146,MP013,2023,2,February,Winter,32228,4383,36611,19832,16779,2214,1485,5411,10393,26218,4.3,1528.25,Sunny,Yes,No,4.6,55950760.75,-2.3,Weekend Rush,08-06-2025,01-03-2025
VS000147,MP013,2023,3,March,Spring,27787,2601,30388,14277,16111,1805,2906,2582,11958,18430,3.4,1319.53,Clear,Yes,No,4.8,40097877.64,1,Holiday Rush,07-03-2025,14-03-2025
VS000148,MP013,2023,4,April,Spring,22738,1408,24146,12481,11665,1555,2256,2593,6135,18011,2,1351.63,Rainy,No,No,4.5,32636457.98,7.5,Peak Season,04-10-2024,03-01-2025
VS000149,MP013,2024,5,May,Summer,19129,477,19606,10702,8904,1196,878,2320,7641,11965,2.1,958.28,Clear,Yes,No,4.3,18788037.68,-2.3,Rain Affected,18-10-2025,01-02-2025
VS000150,MP013,2023,6,June,Summer,17304,1575,18879,9784,9095,1883,897,2181,6724,12155,2.9,1282.93,Windy,Yes,No,4.2,24220435.47,-6.2,Normal Traffic,15-03-2023,06-03-2025
VS000151,MP013,2025,7,July,Monsoon,14265,645,14910,6729,8181,1625,1477,1604,4112,10798,1.9,1565.64,Rainy,No,No,4.8,23343692.4,11.3,Monsoon Season,22-02-2023,19-12-2025
VS000152,MP013,2024,8,August,Monsoon,14567,1118,15685,7160,8525,1554,1199,2294,4244,11441,5.1,1611.99,Cloudy,Yes,No,4.2,25284063.15,4.9,Heavy Rain,23-09-2024,07-02-2025
VS000153,MP013,2025,9,September,Monsoon,17442,1305,18747,9674,9073,1571,1857,2271,7192,11555,2.5,1592.9,Sunny,Yes,No,4.7,29862096.3,3.2,Holiday Rush,07-12-2025,13-07-2025
VS000154,MP013,2023,10,October,Autumn,29550,2861,32411,16892,15519,2606,1843,2803,9901,22510,4.6,1076.32,Foggy,Yes,No,3.8,34884607.52,-3,Peak Season,21-11-2024,08-08-2025
VS000155,MP013,2025,11,November,Autumn,34024,3289,37313,20063,17250,4445,3378,3864,12311,25002,5.1,1371.58,Sunny,Yes,Yes,4.9,51177764.54,25.7,Rain Affected,25-07-2024,10-01-2025
VS000156,MP013,2023,12,December,Winter,30406,877,31283,16893,14390,3215,1903,2991,11317,19966,2.7,1483.46,Foggy,Yes,No,4.4,46407079.18,-14.6,Peak Season,18-05-2023,22-06-2025
VS000157,MP014,2023,1,January,Winter,34707,4234,38941,20085,18856,2147,2531,5835,14498,24443,5.7,1134.25,Cloudy,Yes,No,4.8,44168829.25,-9.2,New Year Rush,25-07-2024,18-03-2025
VS000158,MP014,2025,2,February,Winter,38100,2542,40642,21451,19191,2808,3271,5028,15337,25305,2.9,1511.62,Rainy,No,No,4.1,61435260.04,19.5,Off Season,13-10-2024,24-11-2025
VS000159,MP014,2025,3,March,Spring,26753,3569,30322,13828,16494,2559,1833,3063,11595,18727,6,1429,Sunny,No,Yes,4,43330138,-16.8,Peak Season,23-02-2024,18-01-2025
VS000160,MP014,2025,4,April,Spring,27491,933,28424,13387,15037,2774,1993,3795,11195,17229,3.3,1261.44,Rainy,Yes,Yes,4.5,35855170.56,-6.1,Festival Crowd,17-08-2024,19-12-2025
VS000161,MP014,2025,5,May,Summer,17120,1417,18537,8543,9994,1727,1690,1915,7093,11444,3.5,1140.22,Rainy,Yes,No,3.9,21136258.14,14.6,Rain Affected,05-11-2023,16-12-2025
VS000162,MP014,2023,6,June,Summer,17524,1795,19319,10442,8877,1838,1231,1982,5505,13814,5.3,1373.48,Windy,Yes,No,4.1,26534260.12,0.2,Normal Traffic,01-10-2025,20-01-2025
VS000163,MP014,2025,7,July,Monsoon,11221,253,11474,5790,5684,943,870,1197,3993,7481,5.1,1791.45,Cloudy,No,No,4.4,20555097.3,23.8,Rain Affected,07-04-2025,02-06-2025
VS000164,MP014,2023,8,August,Monsoon,14690,383,15073,7307,7766,1025,1252,1258,4262,10811,3.5,1760.04,Foggy,Yes,No,3.9,26529082.92,24.9,Rain Affected,16-07-2024,10-12-2025
VS000165,MP014,2025,9,September,Monsoon,14270,1741,16011,7633,8378,1046,1552,2162,5123,10888,2.8,1681.94,Cloudy,Yes,No,4.8,26929541.34,32.8,Peak Season,02-11-2023,21-01-2025
VS000166,MP014,2023,10,October,Autumn,20411,2057,22468,11585,10883,1771,1928,2321,6500,15968,5.6,1250.67,Clear,No,No,4.1,28100053.56,27.6,Normal Traffic,04-02-2023,15-03-2025
VS000167,MP014,2023,11,November,Autumn,24582,3567,28149,14724,13425,1420,2344,3230,9388,18761,2.2,1558.87,Windy,Yes,Yes,4.5,43880631.63,3,Festival Crowd,21-03-2023,05-06-2025
VS000168,MP014,2024,12,December,Winter,38857,5643,44500,23569,20931,4406,3875,5334,12167,32333,4.3,1548.46,Windy,No,No,4.8,68906470,10.2,Winter Vacation,10-09-2024,23-10-2025
VS000169,MP015,2023,1,January,Winter,38623,3076,41699,19468,22231,4387,2409,4318,12200,29499,5.4,886.32,Sunny,Yes,No,4.1,36958657.68,9.2,Peak Season,25-03-2025,20-01-2025
VS000170,MP015,2024,2,February,Winter,28766,3821,32587,16155,16432,1976,2970,4243,9133,23454,5.8,935.23,Windy,No,No,4.5,30476340.01,15.4,Peak Season,17-09-2024,03-12-2025
VS000171,MP015,2024,3,March,Spring,25555,2529,28084,14058,14026,1527,2101,2926,10057,18027,5.3,1092.78,Sunny,Yes,No,4.8,30689633.52,19.2,Off Season,11-12-2024,21-12-2025
VS000172,MP015,2024,4,April,Spring,23357,539,23896,11305,12591,1954,1670,3107,6561,17335,2.3,833.09,Sunny,No,Yes,4.6,19907518.64,17.2,Festival Crowd,16-04-2024,12-07-2025
VS000173,MP015,2025,5,May,Summer,17432,2449,19881,9510,10371,1669,1888,2477,5661,14220,3.1,1020.81,Cloudy,Yes,No,4.7,20294723.61,-16.9,Peak Season,24-03-2023,09-10-2025
VS000174,MP015,2025,6,June,Summer,15393,894,16287,8649,7638,955,1444,1897,5896,10391,5.1,891.41,Clear,No,No,4.3,14518394.67,-4.5,Weekend Rush,16-05-2025,16-05-2025
VS000175,MP015,2025,7,July,Monsoon,12256,510,12766,6580,6186,655,800,1305,4456,8310,5,1585.27,Rainy,No,No,4,20237556.82,-11.2,Rain Affected,04-06-2023,11-12-2025
VS000176,MP015,2024,8,August,Monsoon,13880,1987,15867,8631,7236,1736,1016,1608,5394,10473,1.8,1478.54,Clear,Yes,No,4,23459994.18,-7.7,Rain Affected,12-09-2024,07-05-2025
VS000177,MP015,2025,9,September,Monsoon,13557,1794,15351,7822,7529,1528,1360,1236,5924,9427,2.5,1161.32,Rainy,Yes,No,3.8,17827423.32,15.5,Rain Affected,02-04-2025,25-08-2025
VS000178,MP015,2023,10,October,Autumn,24137,3404,27541,14753,12788,2702,2615,3608,8340,19201,3.2,1640.41,Windy,No,No,4.3,45178531.81,18.8,Weekend Rush,10-06-2025,04-10-2025
VS000179,MP015,2023,11,November,Autumn,27285,1299,28584,14900,13684,2009,2339,4160,10630,17954,3.8,1392.49,Sunny,Yes,Yes,4.4,39802934.16,15.1,Weekend Rush,19-11-2023,04-10-2025
VS000180,MP015,2025,12,December,Winter,31118,4411,35529,18770,16759,3485,2083,3397,11646,23883,5.4,926.05,Rainy,Yes,No,4.5,32901630.45,-9.7,Winter Vacation,25-03-2023,06-02-2025
VS000181,MP016,2024,1,January,Winter,33300,1761,35061,18842,16219,2649,2092,2946,8885,26176,5.8,891.97,Rainy,No,No,4.7,31273360.17,-3.7,New Year Rush,12-05-2023,19-11-2025
VS000182,MP016,2023,2,February,Winter,30351,3089,33440,17397,16043,2154,2809,4459,12011,21429,3.7,1575.96,Windy,No,No,4.3,52700102.4,7.9,Normal Traffic,12-04-2024,21-08-2025
VS000183,MP016,2025,3,March,Spring,23787,635,24422,12856,11566,1565,1075,3539,8847,15575,5,1352.07,Rainy,Yes,Yes,3.8,33020253.54,6.6,Rain Affected,10-11-2023,17-05-2025
VS000184,MP016,2023,4,April,Spring,29502,1194,30696,16223,14473,1704,2105,3902,9266,21430,1.6,1028.28,Rainy,No,No,4.7,31564082.88,23.3,Normal Traffic,11-08-2025,08-12-2025
VS000185,MP016,2025,5,May,Summer,15825,1503,17328,7975,9353,1049,1390,1524,4826,12502,2.7,1273.61,Sunny,No,No,3.9,22069114.08,-5.9,Rain Affected,16-03-2024,02-11-2025
VS000186,MP016,2024,6,June,Summer,14047,1867,15914,7371,8543,913,664,2255,5724,10190,2,1707.94,Sunny,No,No,4.7,27180157.16,2.1,Holiday Rush,18-03-2023,01-10-2025
VS000187,MP016,2025,7,July,Monsoon,13658,572,14230,6609,7621,1330,1116,1387,3642,10588,5.2,1267.59,Clear,No,No,3.8,18037805.7,13.4,Heavy Rain,10-07-2023,19-10-2025
VS000188,MP016,2024,8,August,Monsoon,12501,1120,13621,6262,7359,744,780,1103,4722,8899,1.8,1570.14,Cloudy,Yes,No,4,21386876.94,-9.3,Heavy Rain,02-01-2025,24-08-2025
VS000189,MP016,2024,9,September,Monsoon,16176,738,16914,8625,8289,1059,1028,1542,4476,12438,3,1650.8,Rainy,No,No,4.8,27921631.2,23,Festival Crowd,02-07-2023,07-04-2025
VS000190,MP016,2023,10,October,Autumn,21330,1104,22434,10367,12067,2407,1540,3339,7976,14458,4.8,1768.56,Rainy,No,Yes,4.7,39675875.04,-10.1,Off Season,04-08-2025,20-10-2025
VS000191,MP016,2024,11,November,Autumn,30054,4180,34234,17150,17084,2088,2344,4637,11102,23132,2.7,1543.93,Foggy,Yes,No,4.7,52854899.62,-5.5,Festival Crowd,15-09-2023,21-05-2025
VS000192,MP016,2024,12,December,Winter,40347,5187,45534,20498,25036,4602,4072,4727,13107,32427,2,829.09,Foggy,No,No,4,37751784.06,10.2,New Year Rush,02-07-2025,12-11-2025
VS000193,MP017,2024,1,January,Winter,37666,4365,42031,21080,20951,3357,2061,4509,11507,30524,5.4,1702.58,Cloudy,No,No,4.1,71561139.98,21.8,New Year Rush,19-08-2024,20-06-2025
VS000194,MP017,2024,2,February,Winter,33635,4958,38593,19243,19350,2306,2890,3332,12078,26515,5.2,1025.72,Rainy,No,No,4.7,39585611.96,-9.9,Rain Affected,03-01-2024,23-03-2025
VS000195,MP017,2024,3,March,Spring,32449,3259,35708,19465,16243,4124,3480,3710,10128,25580,5.7,1119.94,Windy,Yes,Yes,4.5,39990817.52,-0.2,Off Season,17-08-2025,21-03-2025
VS000196,MP017,2023,4,April,Spring,21549,2282,23831,11545,12286,2367,1779,2901,9033,14798,4,941.19,Clear,Yes,No,4,22429498.89,28.5,Peak Season,09-06-2024,22-03-2025
VS000197,MP017,2024,5,May,Summer,19089,825,19914,9326,10588,1934,837,2442,6752,13162,4.2,1532.68,Windy,Yes,No,4.2,30521789.52,17.1,Weekend Rush,19-03-2024,03-03-2025
VS000198,MP017,2024,6,June,Summer,14233,395,14628,7909,6719,1097,604,1374,4502,10126,3.8,1221.72,Sunny,Yes,No,4.5,17871320.16,27.1,Off Season,24-12-2025,13-10-2025
VS000199,MP017,2023,7,July,Monsoon,10941,935,11876,5808,6068,816,1136,1597,4395,7481,3.9,1416.42,Foggy,No,No,4.6,16821403.92,-12.5,Rain Affected,22-06-2024,10-11-2025
VS000200,MP017,2025,8,August,Monsoon,13536,1753,15289,7776,7513,899,832,1424,4408,10881,4.4,1390.21,Clear,Yes,No,3.9,21254920.69,32.8,Rain Affected,18-03-2025,09-12-2025
VS000201,MP017,2024,9,September,Monsoon,15914,887,16801,8185,8616,1488,673,1436,5682,11119,1.5,1320.8,Windy,No,No,4,22190760.8,-2.6,Peak Season,23-12-2023,02-03-2025
VS000202,MP017,2023,10,October,Autumn,24024,3335,27359,15020,12339,2007,2139,3128,6911,20448,2.9,1183.06,Clear,Yes,Yes,3.9,32367338.54,26,Rain Affected,23-04-2023,15-02-2025
VS000203,MP017,2025,11,November,Autumn,25847,1750,27597,13592,14005,1456,1248,2902,7222,20375,2.6,885.12,Windy,No,No,4.7,24426656.64,11.4,Weekend Rush,14-03-2024,05-03-2025
VS000204,MP017,2024,12,December,Winter,39841,5806,45647,22384,23263,4838,3454,5751,16838,28809,1.6,1339.96,Cloudy,Yes,No,3.8,61165154.12,17.6,New Year Rush,13-06-2025,18-03-2025
VS000205,MP018,2023,1,January,Winter,32424,1732,34156,17368,16788,3948,2515,3168,10665,23491,3.3,1766.51,Foggy,No,No,4.2,60336915.56,29.7,Winter Vacation,03-08-2024,04-02-2025
VS000206,MP018,2023,2,February,Winter,26516,1539,28055,12750,15305,1827,1344,3424,7803,20252,5.5,1367.04,Rainy,Yes,No,4.6,38352307.2,14.3,Weekend Rush,20-06-2025,05-10-2025
VS000207,MP018,2024,3,March,Spring,30657,3612,34269,16941,17328,3248,2377,3813,10407,23862,3.2,862.19,,Yes,No,4.5,29546389.11,26.7,Holiday Rush,05-11-2023,17-09-2025
VS000208,MP018,2023,4,April,Spring,23499,569,24068,11437,12631,1334,1497,3027,6764,17304,5.4,808.79,Sunny,Yes,Yes,3.8,19465957.72,31.3,Off Season,12-03-2023,05-11-2025
VS000209,MP018,2025,5,May,Summer,20830,2376,23206,11970,11236,1277,2276,2647,7618,15588,3.5,936.36,Foggy,Yes,No,3.9,21729170.16,9.4,Peak Season,11-05-2024,15-10-2025
VS000210,MP018,2024,6,Junaurye,Summer,13374,1125,14499,7865,6634,808,1343,1902,4801,9698,2.5,1145.55,Windy,Yes,No,4.8,16609329.45,-10.6,Festival Crowd,09-01-2025,01-02-2025
VS000211,MP018,2025,7,July,Monsoon,11725,765,12490,6195,6295,669,615,1451,3653,8837,1.9,945.75,Clear,No,No,4.2,11812417.5,3.5,Heavy Rain,11-06-2023,08-03-2025
VS000212,MP018,2024,8,August,Monsoon,10579,1554,12133,6103,6030,834,765,1252,3139,8994,2.5,1334.47,Foggy,No,No,4,16191124.51,33.4,Rain Affected,07-12-2025,24-10-2025
VS000213,MP018,2023,9,September,Monsoon,12851,1577,14428,6666,7762,1028,934,1564,3698,10730,5.2,1751.69,Foggy,No,No,4.7,25273383.32,12.3,Rain Affected,19-01-2024,04-08-2025
VS000214,MP018,2025,10,October,Autumn,23149,1800,24949,12778,12171,1379,1166,2222,9926,15023,2.8,1376.9,Clear,Yes,No,3.9,34352278.1,29.6,Rain Affected,04-03-2024,03-05-2025
VS000215,MP018,2023,11,November,Autumn,31433,1457,32890,15793,17097,2283,2356,4644,12120,20770,3.7,1108.01,Sunny,No,Yes,6.4,36442448.9,-2.2,Weekend Rush,03-04-2023,10-12-2025
VS000216,MP018,2023,12,December,Winter,43904,3519,47423,21538,25885,5238,3675,6647,14648,32775,3.5,1758.96,Clear,No,No,4.4,83415160.08,20.4,Peak Season,17-10-2023,04-08-2025
VS000217,MP019,2025,1,January,Winter,30306,2023,32329,17627,14702,2210,2534,4217,12200,20129,4.7,1373.41,Foggy,No,No,4.3,44400971.89,-15.1,New Year Rush,19-04-2025,22-10-2025
VS000218,MP019,2025,2,February,Winter,34703,4210,38913,19742,19171,3100,2959,5258,12218,26695,3.9,807.6,Cloudy,No,No,4.6,31426138.8,17.7,Festival Crowd,03-02-2024,07-12-2025
VS000219,MP019,2025,3,March,Spring,25626,3804,29430,14854,14576,2159,1865,2774,9524,19906,3,940.95,Sunny,Yes,Yes,3.8,27692158.5,-4.2,Peak Season,20-03-2025,21-08-2025
VS000220,MP019,2025,4,April,Spring,21624,905,22529,12164,10365,1815,1540,2694,7060,15469,5.9,1079.61,Windy,Yes,Yes,4.7,2543500.12,-13.3,Weekend Rush,06-01-2023,18-01-2025
VS000221,MP019,2023,5,May,Summer,15567,314,15881,8521,7360,1681,844,1847,5224,10657,2.6,1589.09,Sunny,No,No,4.7,25236338.29,28.3,Normal Traffic,04-06-2025,20-01-2025
VS000222,MP019,2023,6,June,Summer,12143,932,13075,6688,6387,777,637,1470,4405,8670,3.4,1145.02,Clear,No,No,4.8,14971136.5,-10.4,Off Season,03-10-2024,23-07-2025
VS000223,MP019,2024,7,July,Monsoon,14873,1909,16782,8967,7815,918,1359,1705,5211,11571,1.9,1703.05,Windy,No,No,4.3,28580585.1,2.5,Heavy Rain,15-06-2025,09-09-2025
VS000224,MP019,2024,8,August,Monsoon,10913,254,11167,5630,5537,836,672,1368,3222,7945,3.3,1361.84,Windy,Yes,No,4,15207667.28,26,Monsoon Season,07-04-2025,19-10-2025
VS000225,MP019,2025,9,September,Monsoon,16646,493,17139,8791,8348,1853,1036,2501,4976,12163,1.9,944.33,Foggy ,Yes,No,4.2,16184871.87,8.5,Peak Season ,06-08-2025,16-05-2025
VS000226,MP019,2025,10,October,Autumn,20148,1162,21310,10084,11226,2285,1530,2525,7586,13724,4.4,1132.62,Foggy,Yes,No,4.2,24136132.2,31.8,Festival Crowd,19-03-2024,14-04-2025
VS000227,MP019,2024,11,November,Autumn,31064,3315,34379,18483,15896,3743,1814,2796,12581,21798,4,1059.37,Sunny,No,Yes,4.3,36420081.23,12.6,Holiday Rush,22-02-2025,12-11-2025
VS000228,MP019,2023,12,December,Winter,37595,1203,38798,17773,21025,2969,2441,3117,14103,24695,5.9,1748.22,Sunny,Yes,No,4.4,67827439.56,17.1,Peak Season,02-08-2024,05-03-2025
VS000229,MP020,2025,1,January,Winter,31739,3830,35569,17024,18545,1869,1755,4716,11610,23959,3.6,1788.49,Clear,No,No,4.8,63614800.81,29,Peak Season,01-08-2023,02-05-2025
VS000230,MP020,2023,2,February,Winter,34432,3450,37882,18948,18934,2118,3781,4570,9474,28408,4.7,852.72,Rainy,Yes,No,4.5,32302739.04,1.5,Weekend Rush,04-05-2025,15-12-2025
VS000231,MP020,2023,3,March,Spring,29197,689,29886,16071,13815,2901,2750,3487,9599,20287,3.6,1177.56,Sunny,No,Yes,3.8,35192558.16,16.3,Normal Traffic,02-09-2024,01-01-2025
VS000232,MP020,2023,4,April,Spring,27415,2982,30397,14630,15767,3426,1945,3963,8158,22239,1.9,1529.98,Windy,No,No,4,46506802.06,24.1,Festival Crowd,09-01-2023,10-02-2025
VS000233,MP020,2023,5,May,Summer,19351,515,19866,10380,9486,1015,1325,1832,7812,12054,5.5,1560.18,Clear,No,No,4.3,30994535.88,16.1,Peak Season,03-04-2023,09-08-2025
VS000234,MP020,2023,6,June,Summer,16092,1019,17111,9065,8046,1057,708,1437,6479,10632,4.3,1403.85,Cloudy,No,No,4.6,24021277.35,30.4,Holiday Rush,08-01-2024,20-03-2025
VS000235,MP020,2024,7,July,Monsoon,11059,1143,12202,6032,6170,1077,675,1421,3575,8627,1.6,1569.07,Sunny,No,No,4.3,19145792.14,21,Rain Affected,03-11-2024,24-02-2025
VS000236,MP020,2025,8,August,Monsoon,14261,860,15121,7439,7682,1313,1438,2188,3945,11176,4.6,990.02,Clear,No,No,4.4,14970092.42,33.6,Heavy Rain,10-07-2025,23-04-2025
VS000237,MP020,2025,9,September,Monsoon,13947,1991,15938,8484,7454,803,959,1619,4010,11928,4.6,1369.61,Windy,No,No,4.6,21828844.18,-15.4,Festival Crowd,09-06-2024,21-06-2025
VS000238,MP020,2023,10,October,Autumn,22739,2726,25465,13325,12140,1944,2172,2642,9596,15869,2.7,1770.02,Foggy,No,No,4.6,45073559.3,2.9,Festival Crowd,01-02-2025,03-04-2025
VS000239,MP020,2025,11,November,Autumn,35437,1170,36607,19539,17068,3835,1643,4631,12285,24322,5,869.54,Clear,No,Yes,4.2,31831250.78,8.4,Normal Traffic,03-12-2025,19-12-2025
VS000240,MP020,2023,12,December,Winter,43223,1229,44452,22875,21577,2239,3569,6194,14992,29460,1.6,854.2,Sunny,Yes,No,4.5,37970898.4,17.8,New Year Rush,17-06-2025,04-06-2025
VS000241,MP021,2024,1,January,Winter,12975,1342,14317,6491,7826,1204,1395,2044,4006,10311,2.1,738.05,Rainy,Yes,No,4.4,10566661.85,22.7,Winter Vacation,12-10-2023,08-11-2025
VS000242,MP021,2024,2,February,Winter,12668,1644,14312,7318,6994,1078,713,1255,3713,10599,3.2,453.42,Cloudy,No,No,4.8,6489347.04,-15.7,Normal Traffic,14-06-2024,03-11-2025
VS000243,MP021,2023,3,March,Spring,11243,562,11805,5749,6056,932,650,1022,4283,7522,3.9,629.6,Foggy,No,No,4.5,7432428,-9.2,Off Season,16-03-2024,24-12-2025
VS000244,MP021,2025,4,April,Spring,10550,1024,11574,5934,5640,1003,914,980,3020,8554,5.6,524.97,Rainy,No,Yes,4.6,6076002.78,34.6,Normal Traffic,09-03-2025,01-08-2025
VS000245,MP021,2024,5,May,Summer,6761,283,7044,3831,3213,461,639,1028,2323,4721,4.3,967.37,Windy,No,No,4.8,6814154.28,-8.6,Off Season,25-02-2023,01-05-2025
VS000246,MP021,2024,6,June,Summer,5358,625,5983,2788,3195,452,321,769,2319,3664,3,663.27,Rainy,No,No,4.7,3968344.41,23.9,Rain Affected,19-01-2023,22-02-2025
VS000247,MP021,2025,7,July,Monsoon,4122,167,4289,2032,2257,249,195,568,1687,2602,3.6,1060.14,Sunny,Yes,No,4.5,4546940.46,11.5,Rain Affected,08-08-2024,24-03-2025
VS000248,MP021,2023,8,August,Monsoon,5672,519,6191,2809,3382,540,310,822,2071,4120,3.6,757.13,Sunny,Yes,No,4.5,4687391.83,31.5,Heavy Rain,04-01-2024,19-03-2025
VS000249,MP021,2024,9,September,Monsoon,5572,780,6352,2926,3426,580,379,635,2496,3856,5.7,929.24,Cloudy,Yes,No,4,5902532.48,27,Peak Season,17-02-2025,21-06-2025
VS000250,MP021,2025,10,October,Autumn,11680,792,12472,5849,6623,635,1155,1342,4920,7552,5.3,678.7,Rainy,No,Yes,4.5,8464746.4,34.5,Off Season,15-07-2024,23-12-2025
VS000251,MP021,2025,11,November,Autumn,13795,840,14635,7131,7504,767,772,1365,4130,10505,3.4,836.85,Clear,No,No,4.4,12247299.75,24.5,Holiday Rush,01-11-2023,17-04-2025
VS000252,MP021,2023,12,December,Winter,16473,2195,18668,8500,10168,934,1162,1894,6978,11690,4.3,772.02,Rainy,Yes,No,4.6,14412069.36,17.8,Winter Vacation,25-04-2024,12-11-2025
VS000253,MP022,2023,1,January,Winter,15458,713,16171,8578,7593,1445,807,1506,5116,11055,4.8,836.24,Rainy,No,No,4.4,13522837.04,-18.5,Peak Season,03-10-2024,06-12-2025
VS000254,MP022,2025,2,February,Winter,11738,755,12493,6449,6044,1259,567,1008,3404,9089,2.2,1151.08,Windy,Yes,No,4.4,14380442.44,-4.8,Weekend Rush,01-05-2024,03-08-2025
VS000255,MP022,2024,3,March,Spring,10112,553,10665,5409,5256,669,969,855,4021,6644,5.8,692.27,Foggy,No,Yes,4.7,7383059.55,-8.9,Off Season,19-02-2023,07-10-2025
VS000256,MP022,2025,4,April,Spring,11231,1576,12807,6219,6588,1426,997,1201,4763,8044,2.3,436.65,Foggy,No,No,4.2,5592176.55,32.8,Weekend Rush,07-11-2025,21-11-2025
VS000257,MP022,2024,5,May,Summer,7435,1063,8498,4367,4131,995,473,1250,2464,6034,4,986.03,Sunny,No,No,4.6,8379282.94,9.4,Normal Traffic,21-01-2025,18-10-2025
VS000258,MP022,2025,6,June,Summer,5195,432,5627,2689,2938,367,552,531,1966,3661,1.6,1097.8,Windy,Yes,No,4.8,6177320.6,24.9,Holiday Rush,20-10-2023,05-07-2025
VS000259,MP022,2023,7,July,Monsoon,5677,127,5804,2924,2880,651,270,868,2109,3695,1.7,946.42,Sunny,No,No,4.5,5493021.68,32.5,Rain Affected,09-08-2025,03-11-2025
VS000260,MP022,2024,8,August,Monsoon,5941,851,6792,3647,3145,756,647,966,2254,4538,1.6,1185.8,Foggy,Yes,No,4.5,8053953.6,2.4,Heavy Rain,20-01-2023,20-10-2025
VS000261,MP022,2025,9,September,Monsoon,4830,115,4945,2347,2598,535,249,490,1461,3484,5.3,857.01,Rainy,No,No,4.6,4237914.45,24.5,Weekend Rush,11-09-2024,20-04-2025
VS000262,MP022,2023,10,October,Autumn,11058,1548,12606,6521,6085,931,812,1716,4926,7680,1.7,898.58,Windy,No,No,3.8,11327499.48,16.4,Rain Affected,13-03-2023,10-12-2025
VS000263,MP022,2024,11,November,Autumn,13551,374,13925,6289,7636,1037,1013,1870,3785,10140,5.6,1137.72,Windy,Yes,No,4.4,15842751,-5.7,Weekend Rush,06-09-2023,02-01-2025
